INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,SOURCE_FILE
1/01/2025 13:30,TAS1,980,1/01/2025 13:30,0,0,Operational Demand 202501.CSV
1/01/2025 13:30,VIC1,1569,1/01/2025 13:30,0,0,Operational Demand 202501.CSV
1/01/2025 14:00,NSW1,6030,1/01/2025 14:00,0,0,Operational Demand 202501.CSV
1/01/2025 14:00,QLD1,5474,1/01/2025 14:00,0,0,Operational Demand 202501.CSV
1/01/2025 14:00,SA1,84,1/01/2025 14:00,0,0,Operational Demand 202501.CSV
1/01/2025 14:00,TAS1,994,1/01/2025 14:00,0,0,Operational Demand 202501.CSV
1/01/2025 14:00,VIC1,1654,1/01/2025 14:00,0,0,Operational Demand 202501.CSV
1/01/2025 14:30,NSW1,6341,1/01/2025 14:30,0,0,Operational Demand 202501.CSV
1/01/2025 14:30,QLD1,5732,1/01/2025 14:30,0,0,Operational Demand 202501.CSV
1/01/2025 14:30,SA1,110,1/01/2025 14:30,0,0,Operational Demand 202501.CSV
1/01/2025 14:30,TAS1,998,1/01/2025 14:30,0,0,Operational Demand 202501.CSV
1/01/2025 14:30,VIC1,1793,1/01/2025 14:30,0,0,Operational Demand 202501.CSV
1/01/2025 15:00,NSW1,6920,1/01/2025 15:00,0,0,Operational Demand 202501.CSV
1/01/2025 15:00,QLD1,6051,1/01/2025 15:00,0,0,Operational Demand 202501.CSV
1/01/2025 15:00,SA1,152,1/01/2025 15:00,0,0,Operational Demand 202501.CSV
1/01/2025 15:00,TAS1,994,1/01/2025 15:00,0,0,Operational Demand 202501.CSV
1/01/2025 15:00,VIC1,2031,1/01/2025 15:00,0,0,Operational Demand 202501.CSV
1/01/2025 15:30,NSW1,7335,1/01/2025 15:30,0,0,Operational Demand 202501.CSV
1/01/2025 15:30,QLD1,6444,1/01/2025 15:30,0,0,Operational Demand 202501.CSV
1/01/2025 15:30,SA1,228,1/01/2025 15:30,0,0,Operational Demand 202501.CSV
1/01/2025 15:30,TAS1,988,1/01/2025 15:30,0,0,Operational Demand 202501.CSV
1/01/2025 15:30,VIC1,2362,1/01/2025 15:30,0,0,Operational Demand 202501.CSV
1/01/2025 16:00,NSW1,7676,1/01/2025 16:00,0,0,Operational Demand 202501.CSV
1/01/2025 16:00,QLD1,6852,1/01/2025 16:00,0,0,Operational Demand 202501.CSV
1/01/2025 16:00,SA1,342,1/01/2025 16:00,0,0,Operational Demand 202501.CSV
1/01/2025 16:00,TAS1,1018,1/01/2025 16:00,0,0,Operational Demand 202501.CSV
1/01/2025 16:00,VIC1,2775,1/01/2025 16:00,0,0,Operational Demand 202501.CSV
1/01/2025 16:30,NSW1,8268,1/01/2025 16:30,0,0,Operational Demand 202501.CSV
1/01/2025 16:30,QLD1,7041,1/01/2025 16:30,0,0,Operational Demand 202501.CSV
1/01/2025 16:30,SA1,477,1/01/2025 16:30,0,0,Operational Demand 202501.CSV
1/01/2025 16:30,TAS1,1053,1/01/2025 16:30,0,0,Operational Demand 202501.CSV
1/01/2025 16:30,VIC1,3295,1/01/2025 16:30,0,0,Operational Demand 202501.CSV
1/01/2025 17:00,NSW1,8732,1/01/2025 17:00,0,0,Operational Demand 202501.CSV
1/01/2025 17:00,QLD1,7236,1/01/2025 17:00,0,0,Operational Demand 202501.CSV
1/01/2025 17:00,SA1,647,1/01/2025 17:00,0,0,Operational Demand 202501.CSV
1/01/2025 17:00,TAS1,1086,1/01/2025 17:00,0,0,Operational Demand 202501.CSV
1/01/2025 17:00,VIC1,3836,1/01/2025 17:00,0,0,Operational Demand 202501.CSV
1/01/2025 17:30,NSW1,9107,1/01/2025 17:30,0,0,Operational Demand 202501.CSV
1/01/2025 17:30,QLD1,7447,1/01/2025 17:30,0,0,Operational Demand 202501.CSV
1/01/2025 17:30,SA1,846,1/01/2025 17:30,0,0,Operational Demand 202501.CSV
1/01/2025 17:30,TAS1,1102,1/01/2025 17:30,0,0,Operational Demand 202501.CSV
1/01/2025 17:30,VIC1,4245,1/01/2025 17:30,0,0,Operational Demand 202501.CSV
1/01/2025 18:00,NSW1,9405,1/01/2025 18:00,0,0,Operational Demand 202501.CSV
1/01/2025 18:00,QLD1,7654,1/01/2025 18:00,0,0,Operational Demand 202501.CSV
1/01/2025 18:00,SA1,1069,1/01/2025 18:00,0,0,Operational Demand 202501.CSV
1/01/2025 18:00,TAS1,1120,1/01/2025 18:00,0,0,Operational Demand 202501.CSV
1/01/2025 18:00,VIC1,4541,1/01/2025 18:00,0,0,Operational Demand 202501.CSV
1/01/2025 18:30,NSW1,9539,1/01/2025 18:30,0,0,Operational Demand 202501.CSV
1/01/2025 18:30,QLD1,7712,1/01/2025 18:30,0,0,Operational Demand 202501.CSV
1/01/2025 18:30,SA1,1278,1/01/2025 18:30,0,0,Operational Demand 202501.CSV
1/01/2025 18:30,TAS1,1142,1/01/2025 18:30,0,0,Operational Demand 202501.CSV
1/01/2025 18:30,VIC1,4608,1/01/2025 18:30,0,0,Operational Demand 202501.CSV
1/01/2025 19:00,NSW1,9502,1/01/2025 19:00,0,0,Operational Demand 202501.CSV
1/01/2025 19:00,QLD1,7763,1/01/2025 19:00,0,0,Operational Demand 202501.CSV
1/01/2025 19:00,SA1,1414,1/01/2025 19:00,0,0,Operational Demand 202501.CSV
1/01/2025 19:00,TAS1,1142,1/01/2025 19:00,0,0,Operational Demand 202501.CSV
1/01/2025 19:00,VIC1,4641,1/01/2025 19:00,0,0,Operational Demand 202501.CSV
1/01/2025 19:30,NSW1,9348,1/01/2025 19:30,0,0,Operational Demand 202501.CSV
1/01/2025 19:30,QLD1,7761,1/01/2025 19:30,0,0,Operational Demand 202501.CSV
1/01/2025 19:30,SA1,1489,1/01/2025 19:30,0,0,Operational Demand 202501.CSV
1/01/2025 19:30,TAS1,1158,1/01/2025 19:30,0,0,Operational Demand 202501.CSV
1/01/2025 19:30,VIC1,4730,1/01/2025 19:30,0,0,Operational Demand 202501.CSV
1/01/2025 20:00,NSW1,9219,1/01/2025 20:00,0,0,Operational Demand 202501.CSV
1/01/2025 20:00,QLD1,7626,1/01/2025 20:00,0,0,Operational Demand 202501.CSV
1/01/2025 20:00,SA1,1508,1/01/2025 20:00,0,0,Operational Demand 202501.CSV
1/01/2025 20:00,TAS1,1149,1/01/2025 20:00,0,0,Operational Demand 202501.CSV
1/01/2025 20:00,VIC1,4766,1/01/2025 20:00,0,0,Operational Demand 202501.CSV
1/01/2025 20:30,NSW1,9008,1/01/2025 20:30,0,0,Operational Demand 202501.CSV
1/01/2025 20:30,QLD1,7427,1/01/2025 20:30,0,0,Operational Demand 202501.CSV
1/01/2025 20:30,SA1,1489,1/01/2025 20:30,0,0,Operational Demand 202501.CSV
1/01/2025 20:30,TAS1,1145,1/01/2025 20:30,0,0,Operational Demand 202501.CSV
1/01/2025 20:30,VIC1,4760,1/01/2025 20:30,0,0,Operational Demand 202501.CSV
1/01/2025 21:00,NSW1,8780,1/01/2025 21:00,0,0,Operational Demand 202501.CSV
1/01/2025 21:00,QLD1,7262,1/01/2025 21:00,0,0,Operational Demand 202501.CSV
1/01/2025 21:00,SA1,1486,1/01/2025 21:00,0,0,Operational Demand 202501.CSV
1/01/2025 21:00,TAS1,1122,1/01/2025 21:00,0,0,Operational Demand 202501.CSV
1/01/2025 21:00,VIC1,4674,1/01/2025 21:00,0,0,Operational Demand 202501.CSV
1/01/2025 21:30,NSW1,8582,1/01/2025 21:30,0,0,Operational Demand 202501.CSV
1/01/2025 21:30,QLD1,7166,1/01/2025 21:30,0,0,Operational Demand 202501.CSV
1/01/2025 21:30,SA1,1452,1/01/2025 21:30,0,0,Operational Demand 202501.CSV
1/01/2025 21:30,TAS1,1116,1/01/2025 21:30,0,0,Operational Demand 202501.CSV
1/01/2025 21:30,VIC1,4552,1/01/2025 21:30,0,0,Operational Demand 202501.CSV
1/01/2025 22:00,NSW1,8398,1/01/2025 22:00,0,0,Operational Demand 202501.CSV
1/01/2025 22:00,QLD1,7039,1/01/2025 22:00,0,0,Operational Demand 202501.CSV
1/01/2025 22:00,SA1,1421,1/01/2025 22:00,0,0,Operational Demand 202501.CSV
1/01/2025 22:00,TAS1,1096,1/01/2025 22:00,0,0,Operational Demand 202501.CSV
1/01/2025 22:00,VIC1,4423,1/01/2025 22:00,0,0,Operational Demand 202501.CSV
1/01/2025 22:30,NSW1,8153,1/01/2025 22:30,0,0,Operational Demand 202501.CSV
1/01/2025 22:30,QLD1,6665,1/01/2025 22:30,0,0,Operational Demand 202501.CSV
1/01/2025 22:30,SA1,1394,1/01/2025 22:30,0,0,Operational Demand 202501.CSV
1/01/2025 22:30,TAS1,1075,1/01/2025 22:30,0,0,Operational Demand 202501.CSV
1/01/2025 22:30,VIC1,4304,1/01/2025 22:30,0,0,Operational Demand 202501.CSV
1/01/2025 23:00,NSW1,7944,1/01/2025 23:00,0,0,Operational Demand 202501.CSV
1/01/2025 23:00,QLD1,6466,1/01/2025 23:00,0,0,Operational Demand 202501.CSV
1/01/2025 23:00,SA1,1363,1/01/2025 23:00,0,0,Operational Demand 202501.CSV
1/01/2025 23:00,TAS1,1048,1/01/2025 23:00,0,0,Operational Demand 202501.CSV
1/01/2025 23:00,VIC1,4228,1/01/2025 23:00,0,0,Operational Demand 202501.CSV
1/01/2025 23:30,NSW1,7700,1/01/2025 23:30,0,0,Operational Demand 202501.CSV
1/01/2025 23:30,QLD1,6405,1/01/2025 23:30,0,0,Operational Demand 202501.CSV
1/01/2025 23:30,SA1,1336,1/01/2025 23:30,0,0,Operational Demand 202501.CSV
1/01/2025 23:30,TAS1,1031,1/01/2025 23:30,0,0,Operational Demand 202501.CSV
1/01/2025 23:30,VIC1,4324,1/01/2025 23:30,0,0,Operational Demand 202501.CSV
2/01/2025 0:00,NSW1,7500,2/01/2025 0:00,0,0,Operational Demand 202501.CSV
2/01/2025 0:00,QLD1,6276,2/01/2025 0:00,0,0,Operational Demand 202501.CSV
2/01/2025 0:00,SA1,1391,2/01/2025 0:00,0,0,Operational Demand 202501.CSV
2/01/2025 0:00,TAS1,1024,2/01/2025 0:00,0,0,Operational Demand 202501.CSV
2/01/2025 0:00,VIC1,4283,2/01/2025 0:00,0,0,Operational Demand 202501.CSV
2/01/2025 0:30,NSW1,7295,2/01/2025 0:30,0,0,Operational Demand 202501.CSV
2/01/2025 0:30,QLD1,6177,2/01/2025 0:30,0,0,Operational Demand 202501.CSV
2/01/2025 0:30,SA1,1401,2/01/2025 0:30,0,0,Operational Demand 202501.CSV
2/01/2025 0:30,TAS1,1015,2/01/2025 0:30,0,0,Operational Demand 202501.CSV
2/01/2025 0:30,VIC1,4138,2/01/2025 0:30,0,0,Operational Demand 202501.CSV
2/01/2025 1:00,NSW1,7044,2/01/2025 1:00,0,0,Operational Demand 202501.CSV
2/01/2025 1:00,QLD1,6066,2/01/2025 1:00,0,0,Operational Demand 202501.CSV
2/01/2025 1:00,SA1,1413,2/01/2025 1:00,0,0,Operational Demand 202501.CSV
2/01/2025 1:00,TAS1,1014,2/01/2025 1:00,0,0,Operational Demand 202501.CSV
2/01/2025 1:00,VIC1,4032,2/01/2025 1:00,0,0,Operational Demand 202501.CSV
2/01/2025 1:30,NSW1,6863,2/01/2025 1:30,0,0,Operational Demand 202501.CSV
2/01/2025 1:30,QLD1,6022,2/01/2025 1:30,0,0,Operational Demand 202501.CSV
2/01/2025 1:30,SA1,1396,2/01/2025 1:30,0,0,Operational Demand 202501.CSV
2/01/2025 1:30,TAS1,1009,2/01/2025 1:30,0,0,Operational Demand 202501.CSV
2/01/2025 1:30,VIC1,3943,2/01/2025 1:30,0,0,Operational Demand 202501.CSV
2/01/2025 2:00,NSW1,6713,2/01/2025 2:00,0,0,Operational Demand 202501.CSV
2/01/2025 2:00,QLD1,5994,2/01/2025 2:00,0,0,Operational Demand 202501.CSV
2/01/2025 2:00,SA1,1366,2/01/2025 2:00,0,0,Operational Demand 202501.CSV
2/01/2025 2:00,TAS1,1008,2/01/2025 2:00,0,0,Operational Demand 202501.CSV
2/01/2025 2:00,VIC1,3866,2/01/2025 2:00,0,0,Operational Demand 202501.CSV
2/01/2025 2:30,NSW1,6550,2/01/2025 2:30,0,0,Operational Demand 202501.CSV
2/01/2025 2:30,QLD1,5889,2/01/2025 2:30,0,0,Operational Demand 202501.CSV
2/01/2025 2:30,SA1,1331,2/01/2025 2:30,0,0,Operational Demand 202501.CSV
2/01/2025 2:30,TAS1,1008,2/01/2025 2:30,0,0,Operational Demand 202501.CSV
2/01/2025 2:30,VIC1,3813,2/01/2025 2:30,0,0,Operational Demand 202501.CSV
2/01/2025 3:00,NSW1,6475,2/01/2025 3:00,0,0,Operational Demand 202501.CSV
2/01/2025 3:00,QLD1,5836,2/01/2025 3:00,0,0,Operational Demand 202501.CSV
2/01/2025 3:00,SA1,1315,2/01/2025 3:00,0,0,Operational Demand 202501.CSV
2/01/2025 3:00,TAS1,1011,2/01/2025 3:00,0,0,Operational Demand 202501.CSV
2/01/2025 3:00,VIC1,3772,2/01/2025 3:00,0,0,Operational Demand 202501.CSV
2/01/2025 3:30,NSW1,6433,2/01/2025 3:30,0,0,Operational Demand 202501.CSV
2/01/2025 3:30,QLD1,5799,2/01/2025 3:30,0,0,Operational Demand 202501.CSV
2/01/2025 3:30,SA1,1297,2/01/2025 3:30,0,0,Operational Demand 202501.CSV
2/01/2025 3:30,TAS1,1005,2/01/2025 3:30,0,0,Operational Demand 202501.CSV
2/01/2025 3:30,VIC1,3775,2/01/2025 3:30,0,0,Operational Demand 202501.CSV
2/01/2025 4:00,NSW1,6398,2/01/2025 4:00,0,0,Operational Demand 202501.CSV
2/01/2025 4:00,QLD1,5796,2/01/2025 4:00,0,0,Operational Demand 202501.CSV
2/01/2025 4:00,SA1,1267,2/01/2025 4:00,0,0,Operational Demand 202501.CSV
2/01/2025 4:00,TAS1,1013,2/01/2025 4:00,0,0,Operational Demand 202501.CSV
2/01/2025 4:00,VIC1,3783,2/01/2025 4:00,0,0,Operational Demand 202501.CSV
2/01/2025 4:30,NSW1,6505,2/01/2025 4:30,0,0,Operational Demand 202501.CSV
2/01/2025 4:30,QLD1,5827,2/01/2025 4:30,0,0,Operational Demand 202501.CSV
2/01/2025 4:30,SA1,1255,2/01/2025 4:30,0,0,Operational Demand 202501.CSV
2/01/2025 4:30,TAS1,1029,2/01/2025 4:30,0,0,Operational Demand 202501.CSV
2/01/2025 4:30,VIC1,3844,2/01/2025 4:30,0,0,Operational Demand 202501.CSV
